,Area,BHK,Bathroom,Locality,Price,Price_per_sqft
903,2750.0,4,5.0,"Geetanjali Enclave, Malviya Nagar",75000000,27272.727272727272
904,2050.0,4,4.0,"Geetanjali Enclave, Malviya Nagar",62500000,30487.80487804878
905,3000.0,4,4.0,other,67000000,22333.333333333332
906,850.0,2,2.0,Malviya Nagar,8500000,10000.0
907,750.0,2,2.0,Malviya Nagar,11500000,15333.333333333334
908,2600.0,4,5.0,other,52500000,20192.30769230769
909,800.0,2,2.0,Malviya Nagar,12000000,15000.0
910,550.0,2,2.0,Malviya Nagar,10700000,19454.545454545456
911,700.0,2,2.0,Malviya Nagar,9000000,12857.142857142857
912,2316.0,3,4.0,"Geetanjali Enclave, Malviya Nagar",100000000,43177.892918825564
913,900.0,3,2.0,other,6200000,6888.888888888889
914,100.0,3,2.0,Malviya Nagar,17000000,170000.0
915,900.0,2,3.0,other,12500000,13888.888888888889
916,1500.0,2,2.0,Malviya Nagar,13000000,8666.666666666666
917,650.0,3,2.0,other,4200000,6461.538461538462
918,2000.0,4,4.0,Malviya Nagar,36000000,18000.0
919,500.0,1,1.0,Malviya Nagar,2300000,4600.0
920,1125.0,2,2.0,Malviya Nagar,8100000,7200.0
921,1300.0,3,3.0,Malviya Nagar,10000000,7692.307692307692
922,2500.0,4,5.0,"Geetanjali Enclave, Malviya Nagar",62500000,25000.0
923,2200.0,4,5.0,"Geetanjali Enclave, Malviya Nagar",65000000,29545.454545454544
924,1290.0,3,2.0,Malviya Nagar,20000000,15503.875968992248
925,2250.0,4,4.0,"Geetanjali Enclave, Malviya Nagar",57500000,25555.555555555555
926,1350.0,3,3.0,"Shivalik, Malviya Nagar",30000000,22222.222222222223
927,1400.0,3,3.0,"Shivalik, Malviya Nagar",30000000,21428.571428571428
928,1700.0,3,3.0,"Shivalik, Malviya Nagar",30000000,17647.058823529413
929,450.0,1,1.0,"Dilshad Colony, Dilshad Garden",3300000,7333.333333333333
930,750.0,2,1.0,other,7350000,9800.0
931,1500.0,4,1.0,other,12500000,8333.333333333334
932,400.0,1,1.0,"Dilshad Colony, Dilshad Garden",3500000,8750.0
933,650.0,2,2.0,"Dilshad Colony, Dilshad Garden",6500000,10000.0
934,900.0,2,2.0,"Dilshad Colony, Dilshad Garden",6900000,7666.666666666667
935,400.0,1,1.0,"Dilshad Colony, Dilshad Garden",3600000,9000.0
936,900.0,3,2.0,"Dilshad Colony, Dilshad Garden",13500000,15000.0
937,1000.0,3,2.0,"DDA Flats Block A, Dilshad Garden",9200000,9200.0
938,405.0,1,1.0,"Dilshad Colony, Dilshad Garden",2500000,6172.83950617284
939,1700.0,3,2.0,"DDA Flats Block A, Dilshad Garden",17000000,10000.0
940,800.0,3,2.0,Dilshad Garden,9030000,11287.5
941,1076.39,3,2.0,"Dilshad Colony, Dilshad Garden",9300000,8639.991081299528
942,750.0,2,1.0,other,6500000,8666.666666666666
943,460.0,2,1.0,"Dilshad Colony, Dilshad Garden",3300000,7173.913043478261
944,370.0,1,1.0,"Dilshad Colony, Dilshad Garden",2400000,6486.486486486487
945,1800.0,3,3.0,"Dilshad Colony, Dilshad Garden",15000000,8333.333333333334
946,1080.0,3,1.0,Dilshad Garden,7000000,6481.481481481482
947,350.0,1,1.0,other,4200000,12000.0
948,500.0,2,1.0,Dilshad Garden,5800000,11600.0
949,900.0,3,2.0,"Dilshad Colony, Dilshad Garden",4800000,5333.333333333333
950,800.0,2,2.0,"Dilshad Colony, Dilshad Garden",7500000,9375.0
951,350.0,1,1.0,other,3000000,8571.42857142857
952,430.556,1,1.0,Dilshad Garden,4300000,9987.086464943004
953,500.0,1,1.0,"Dilshad Colony, Dilshad Garden",2600000,5200.0
954,1450.0,2,2.0,Dilshad Garden,7000000,4827.586206896552
955,800.0,2,2.0,"Dilshad Colony, Dilshad Garden",6000000,7500.0
956,1000.0,2,2.0,"Dilshad Colony, Dilshad Garden",6700000,6700.0
957,1000.0,3,3.0,other,9500000,9500.0
958,1600.0,3,2.0,"DDA Flats Block A, Dilshad Garden",17000000,10625.0
959,900.0,2,2.0,Vasundhara Enclave,8000000,8888.888888888889
960,1500.0,3,3.0,Vasundhara Enclave,12000000,8000.0
961,1050.0,2,2.0,Vasundhara Enclave,9000000,8571.42857142857
962,1300.0,3,2.0,other,11500000,8846.153846153846
963,1600.0,4,3.0,other,20000000,12500.0
964,900.0,2,2.0,other,8550000,9500.0
965,1350.0,4,4.0,other,10500000,7777.777777777777
966,1000.0,3,2.0,other,12000000,12000.0
967,1400.0,3,2.0,other,11000000,7857.142857142857
968,975.0,3,2.0,Vasundhara Enclave,12000000,12307.692307692309
969,900.0,2,2.0,other,9000000,10000.0
970,1100.0,2,2.0,Vasundhara Enclave,10000000,9090.90909090909
971,950.0,2,2.0,Vasundhara Enclave,8100000,8526.315789473685
972,1300.0,3,3.0,Vasundhara Enclave,9200000,7076.923076923077
973,1459.0,3,3.0,Vasundhara Enclave,14200000,9732.693625771077
974,1000.0,2,2.0,other,7500000,7500.0
975,1100.0,2,2.0,other,9500000,8636.363636363636
976,1450.0,3,2.0,other,14000000,9655.172413793103
977,1450.0,3,3.0,other,11600000,8000.0
978,1150.0,3,3.0,Vasundhara Enclave,12000000,10434.782608695652
979,780.0,2,2.0,Vasundhara Enclave,7500000,9615.384615384615
980,1300.0,3,2.0,other,9800000,7538.461538461538
981,1350.0,3,3.0,other,12000000,8888.888888888889
982,1200.0,3,2.0,other,12500000,10416.666666666666
983,1460.0,3,3.0,other,16500000,11301.369863013699
984,1460.0,3,3.0,Vasundhara Enclave,12000000,8219.17808219178
985,1100.0,2,2.0,Vasundhara Enclave,7200000,6545.454545454545
